STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/8/2024,,,11,",,N",44.2,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/9/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/10/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/11/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/12/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/13/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/14/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/15/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/16/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/17/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/18/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/19/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/20/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/21/2024,,,,,,,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/22/2024,,,,,,,,,71.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/23/2024,,,,,,,,,12.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1TXWM0044,"JOLLYVILLE 1.2 WNW, TX US",30.455636,-97.769188,271.9,1/24/2024,,,,,,,,,12.2,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
